,userId,movieId,timestamp
0,1,1,2000-07-30 18:45:03
1,1,3,2000-07-30 18:20:47
2,1,6,2000-07-30 18:37:04
3,1,70,2000-07-30 18:40:00
4,1,101,2000-07-30 18:14:28
5,1,110,2000-07-30 18:36:16
6,1,151,2000-07-30 19:07:21
7,1,157,2000-07-30 19:08:20
8,1,163,2000-07-30 19:00:50
9,1,216,2000-07-30 18:20:08
10,1,223,2000-07-30 18:16:25
11,1,235,2000-07-30 18:15:08
12,1,296,2000-07-30 18:49:27
13,1,316,2000-07-30 18:38:30
14,1,333,2000-07-30 18:19:39
15,1,349,2000-07-30 18:42:43
16,1,356,2000-07-30 18:16:02
17,1,423,2000-07-30 18:39:23
18,1,441,2000-07-30 18:14:28
19,1,480,2000-07-30 18:39:06
20,1,500,2000-07-30 18:20:08
21,1,527,2000-07-30 19:06:42
22,1,543,2000-07-30 18:19:39
23,1,553,2000-07-30 19:09:13
24,1,590,2000-07-30 18:42:26
25,1,592,2000-07-30 18:37:51
26,1,596,2000-07-30 18:47:18
27,1,608,2000-07-30 18:48:51
28,1,648,2000-07-30 18:42:43
29,1,661,2000-07-30 18:47:18
30,1,673,2000-07-30 18:29:35
31,1,736,2000-07-30 18:44:13
32,1,804,2000-07-30 18:08:19
33,1,923,2000-07-30 18:25:29
34,1,954,2000-07-30 18:53:39
35,1,1029,2000-07-30 18:47:35
36,1,1030,2000-07-30 18:48:23
37,1,1031,2000-07-30 18:44:13
38,1,1032,2000-07-30 18:46:31
39,1,1042,2000-07-30 18:19:39
40,1,1060,2000-07-30 18:15:24
41,1,1073,2000-07-30 18:28:00
42,1,1080,2000-07-30 18:22:07
43,1,1089,2000-07-30 18:49:11
44,1,1090,2000-07-30 19:06:58
45,1,1092,2000-07-30 18:58:04
46,1,1097,2000-07-30 18:28:00
47,1,1136,2000-07-30 18:22:07
48,1,1208,2000-07-30 18:54:10
49,1,1213,2000-07-30 18:49:11
50,1,1214,2000-07-30 18:30:55
51,1,1219,2000-07-30 18:56:33
52,1,1222,2000-07-30 18:31:49
53,1,1224,2000-07-30 19:06:58
54,1,1256,2000-07-30 18:24:02
55,1,1265,2000-07-30 18:59:59
56,1,1270,2000-07-30 19:01:45
57,1,1275,2000-07-30 18:38:10
58,1,1278,2000-07-30 18:56:54
59,1,1282,2000-07-30 18:45:03
60,1,1291,2000-07-30 18:31:49
61,1,1377,2000-07-30 18:44:13
62,1,1396,2000-07-30 18:50:17
63,1,1445,2000-07-30 19:08:32
64,1,1473,2000-07-30 18:14:35
65,1,1500,2000-07-30 18:16:25
66,1,1517,2000-07-30 18:18:27
67,1,1552,2000-07-30 18:43:40
68,1,1573,2000-07-30 18:38:10
69,1,1587,2000-07-30 18:39:06
70,1,1617,2000-07-30 18:49:11
71,1,1620,2000-07-30 18:50:56
72,1,1644,2000-07-30 18:58:56
73,1,1676,2000-07-30 18:43:40
74,1,1805,2000-07-30 18:50:56
75,1,1920,2000-07-30 18:29:40
76,1,1927,2000-07-30 18:24:57
77,1,1954,2000-07-30 18:36:16
78,1,1967,2000-07-30 18:28:30
79,1,2000,2000-07-30 18:36:51
80,1,2005,2000-07-30 18:28:30
81,1,2012,2000-07-30 19:09:36
82,1,2018,2000-07-30 18:08:43
83,1,2028,2000-07-30 18:31:28
84,1,2033,2000-07-30 18:48:23
85,1,2046,2000-07-30 18:42:43
86,1,2054,2000-07-30 18:29:07
87,1,2093,2000-07-30 18:28:30
88,1,2096,2000-07-30 18:47:18
89,1,2099,2000-07-30 18:43:08
90,1,2105,2000-07-30 18:28:45
